price,bed,bath,acre_lot,state,house_size,state_number
259900.0,1.0,1.0,0.02,Arizona,1073.0,1
395000.0,2.0,3.0,0.02,Arizona,1897.0,1
419000.0,2.0,2.0,0.1,Arizona,1217.0,1
389900.0,2.0,2.0,0.2,Arizona,2020.0,1
485000.0,4.0,3.0,0.02,Arizona,1969.0,1
2250000.0,4.0,5.0,0.44,Arizona,4905.0,1
434230.0,4.0,4.0,0.17,Arizona,2590.0,1
290000.0,2.0,2.0,0.0,Arizona,1004.0,1
435000.0,3.0,3.0,0.08,Arizona,2051.0,1
247500.0,3.0,2.0,0.05,Arizona,1551.0,1
309900.0,2.0,2.0,0.01,Arizona,1088.0,1
369900.0,4.0,2.0,0.31,Arizona,1547.0,1
319888.0,3.0,2.0,0.11,Arizona,1554.0,1
170000.0,2.0,2.0,0.05,Arizona,1167.0,1
460000.0,3.0,3.0,0.1,Arizona,1955.0,1
515900.0,3.0,2.0,0.18,Arizona,1704.0,1
629900.0,3.0,3.0,0.09,Arizona,2069.0,1
350000.0,4.0,2.0,0.14,Arizona,1413.0,1
375000.0,2.0,2.0,0.09,Arizona,1824.0,1
440000.0,4.0,2.0,0.19,Arizona,2228.0,1
329000.0,3.0,2.0,0.04,Arizona,1113.0,1
840000.0,4.0,4.0,0.29,Arizona,3109.0,1
345000.0,3.0,2.0,0.15,Arizona,1491.0,1
499090.0,4.0,3.0,0.17,Arizona,2761.0,1
355000.0,3.0,2.0,0.21,Arizona,1839.0,1
379900.0,3.0,2.0,0.19,Arizona,1535.0,1
435000.0,3.0,2.0,0.15,Arizona,1518.0,1
144500.0,1.0,1.0,0.17,Arizona,704.0,1
395545.0,4.0,3.0,0.16,Arizona,2207.0,1
400000.0,3.0,2.0,0.13,Arizona,1320.0,1
39900.0,2.0,1.0,0.09,Arizona,896.0,1
399990.0,4.0,2.0,0.21,Arizona,1609.0,1
290000.0,4.0,2.0,1.44,Arizona,2053.0,1
325000.0,1.0,1.0,0.02,Arizona,864.0,1
730000.0,3.0,2.0,0.2,Arizona,2448.0,1
436490.0,4.0,3.0,0.18,Arizona,2027.0,1
185000.0,3.0,2.0,0.15,Arizona,1144.0,1
360000.0,4.0,2.0,0.15,Arizona,1344.0,1
329000.0,3.0,2.0,0.17,Arizona,2045.0,1
425000.0,4.0,2.0,0.15,Arizona,2252.0,1
289747.0,3.0,2.0,0.02,Arizona,1075.0,1
245000.0,3.0,2.0,0.14,Arizona,1155.0,1
865000.0,3.0,4.0,0.2,Arizona,2886.0,1
396000.0,4.0,2.0,0.28,Arizona,2119.0,1
185000.0,3.0,2.0,0.2,Arizona,980.0,1
529000.0,2.0,2.0,0.7,Arizona,1229.0,1
419900.0,3.0,2.0,0.2,Arizona,1518.0,1
465000.0,4.0,3.0,0.13,Arizona,2434.0,1
230000.0,2.0,1.0,0.02,Arizona,924.0,1
27999.0,1.0,1.0,0.21,Arizona,530.0,1
159900.0,2.0,2.0,0.11,Arizona,1344.0,1
339900.0,3.0,2.0,0.21,Arizona,1417.0,1
404000.0,3.0,3.0,0.02,Arizona,1439.0,1
85000.0,1.0,1.0,0.05,Arizona,398.0,1
899000.0,4.0,3.0,4.41,Arizona,4329.0,1
350000.0,2.0,3.0,0.04,Arizona,1245.0,1
465000.0,3.0,2.0,0.11,Arizona,1332.0,1
419000.0,2.0,2.0,0.08,Arizona,1817.0,1
285000.0,2.0,1.0,0.02,Arizona,726.0,1
555000.0,6.0,3.0,0.24,Arizona,2640.0,1
445000.0,3.0,2.0,0.14,Arizona,1868.0,1
465000.0,3.0,3.0,0.11,Arizona,2218.0,1
999000.0,5.0,5.0,0.22,Arizona,3901.0,1
475000.0,2.0,2.0,0.14,Arizona,1793.0,1
320000.0,2.0,2.0,98.0,Arizona,932.0,1
399000.0,3.0,2.0,0.14,Arizona,1518.0,1
395000.0,3.0,1.0,0.94,Arizona,1299.0,1
230000.0,2.0,2.0,0.17,Arizona,1391.0,1
799000.0,4.0,3.0,0.14,Arizona,2116.0,1
635000.0,3.0,2.0,0.61,Arizona,1650.0,1
338000.0,3.0,2.0,0.1,Arizona,1056.0,1
329900.0,4.0,2.0,0.15,Arizona,1736.0,1
1199999.0,5.0,3.0,0.51,Arizona,4085.0,1
330000.0,3.0,2.0,0.26,Arizona,1331.0,1
265000.0,3.0,2.0,0.11,Arizona,1243.0,1
105000.0,2.0,1.0,0.12,Arizona,768.0,1
360000.0,3.0,2.0,0.26,Arizona,1452.0,1
329000.0,3.0,2.0,0.23,Arizona,1848.0,1
448000.0,2.0,2.0,0.0,Arizona,1216.0,1
825000.0,3.0,2.0,0.17,Arizona,2007.0,1
629900.0,5.0,2.0,0.21,Arizona,2266.0,1
1475000.0,3.0,3.0,0.45,Arizona,3718.0,1
430000.0,2.0,2.0,0.04,Arizona,1369.0,1
409900.0,4.0,3.0,0.12,Arizona,1978.0,1
1499900.0,3.0,3.0,0.2,Arizona,3237.0,1
400000.0,3.0,2.0,0.24,Arizona,1297.0,1
1395000.0,4.0,3.0,0.15,Arizona,2305.0,1
408900.0,3.0,2.0,0.04,Arizona,1340.0,1
1495000.0,5.0,5.0,0.57,Arizona,4769.0,1
225000.0,3.0,2.0,0.08,Arizona,1073.0,1
650000.0,4.0,3.0,1.14,Arizona,1899.0,1
350000.0,2.0,2.0,0.17,Arizona,1525.0,1
349000.0,2.0,2.0,0.13,Arizona,1424.0,1
260000.0,2.0,2.0,0.06,Arizona,1138.0,1
448000.0,2.0,2.0,0.0,Arizona,1216.0,1
400000.0,2.0,2.0,0.0,Arizona,1066.0,1
485000.0,4.0,3.0,0.14,Arizona,2106.0,1
632000.0,4.0,2.0,0.78,Arizona,2276.0,1
300000.0,3.0,2.0,0.08,Arizona,1118.0,1
549900.0,5.0,3.0,0.18,Arizona,2494.0,1
545000.0,4.0,2.0,0.22,Arizona,1953.0,1
569900.0,4.0,3.0,0.19,Arizona,2238.0,1
699997.0,4.0,2.0,1.03,Arizona,2274.0,1
525000.0,1.0,1.0,2.42,Arizona,468.0,1
775000.0,4.0,3.0,0.26,Arizona,1700.0,1
230000.0,3.0,2.0,0.12,Arizona,1145.0,1
1395000.0,5.0,5.0,0.46,Arizona,4820.0,1
350000.0,2.0,1.0,0.09,Arizona,798.0,1
189900.0,1.0,1.0,0.04,Arizona,883.0,1
300000.0,2.0,2.0,0.03,Arizona,1140.0,1
774900.0,3.0,3.0,0.31,Arizona,1906.0,1
298000.0,2.0,2.0,0.1,Arizona,1296.0,1
198900.0,3.0,1.0,0.14,Arizona,864.0,1
399998.0,4.0,3.0,0.12,Arizona,2265.0,1
389900.0,4.0,3.0,0.14,Arizona,2237.0,1
428000.0,3.0,3.0,0.09,Arizona,2173.0,1
379900.0,3.0,2.0,0.17,Arizona,1343.0,1
330775.0,3.0,2.0,0.14,Arizona,1612.0,1
525000.0,3.0,2.0,0.16,Arizona,1898.0,1
541000.0,4.0,2.0,0.18,Arizona,2074.0,1
559000.0,3.0,3.0,0.14,Arizona,2569.0,1
699000.0,4.0,3.0,0.18,Arizona,2043.0,1
486000.0,3.0,2.0,0.15,Arizona,1616.0,1
525000.0,3.0,2.0,0.11,Arizona,1522.0,1
2189000.0,5.0,4.0,0.31,Arizona,3841.0,1
765000.0,4.0,3.0,0.13,Arizona,2030.0,1
190000.0,2.0,1.0,0.02,Arizona,744.0,1
500000.0,5.0,4.0,0.25,Arizona,3105.0,1
380000.0,2.0,2.0,0.14,Arizona,1917.0,1
700000.0,6.0,4.0,0.24,Arizona,4312.0,1
499900.0,3.0,2.0,0.29,Arizona,1730.0,1
424900.0,5.0,4.0,0.94,Arizona,2877.0,1
469900.0,4.0,3.0,0.23,Arizona,2570.0,1
400000.0,4.0,3.0,0.13,Arizona,2198.0,1
350000.0,3.0,2.0,1.06,Arizona,2772.0,1
465000.0,3.0,2.0,4.84,Arizona,1440.0,1
469900.0,4.0,3.0,0.16,Arizona,2299.0,1
825000.0,4.0,3.0,0.19,Arizona,3722.0,1
305000.0,3.0,2.0,0.23,Arizona,1444.0,1
560000.0,3.0,3.0,0.17,Arizona,2156.0,1
749000.0,5.0,4.0,0.12,Arizona,2924.0,1
649000.0,4.0,3.0,0.26,Arizona,2156.0,1
198000.0,2.0,2.0,0.05,Arizona,985.0,1
541000.0,4.0,3.0,0.11,Arizona,2375.0,1
350000.0,3.0,2.0,0.41,Arizona,1264.0,1
925000.0,3.0,2.0,0.2,Arizona,2315.0,1
500000.0,3.0,3.0,0.16,Arizona,1967.0,1
371990.0,4.0,3.0,0.13,Arizona,1912.0,1
334900.0,2.0,2.0,0.04,Arizona,1113.0,1
399999.0,4.0,2.0,0.18,Arizona,1683.0,1
289900.0,4.0,3.0,0.17,Arizona,1894.0,1
499000.0,3.0,2.0,0.24,Arizona,1304.0,1
371090.0,3.0,2.0,0.14,Arizona,1565.0,1
195000.0,2.0,3.0,0.15,Arizona,944.0,1
374900.0,3.0,2.0,0.14,Arizona,2190.0,1
325000.0,3.0,2.0,0.13,Arizona,1797.0,1
525000.0,4.0,3.0,0.16,Arizona,3404.0,1
264990.0,3.0,2.0,0.11,Arizona,1000.0,1
445000.0,3.0,2.0,0.27,Arizona,1339.0,1
249000.0,4.0,2.0,1.0,Arizona,1664.0,1
298000.0,3.0,2.0,0.14,Arizona,1221.0,1
